iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,$<time
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,4.96
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,7.75
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,3.61
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,3.81
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,3.7
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2.43
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.68
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,3.01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,2.46
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,3.23
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,2.25
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,3.02
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,2.37
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2.74
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,4.11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.8
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.93
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,2.13
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,2.31
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2.04
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,4.18
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2.89
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,2.17
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.56
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.63
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,2.1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,2.1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10,2.68
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,3.05
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,90,3.24
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,90,2.66
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,90,2.58
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,2.44
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,2.99
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,90,2.49
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.81
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,90,2.47
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,10,3.03
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,3.88
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,90,2.66
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,2.64
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,90,2.73
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,90,2.28
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,3
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.92
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90,2.46
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2.21
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,3.69
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,7.09
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,10,2.39
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,2.45
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,2.43
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.13
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,2.17
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.92
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10,3.73
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,90,2.44
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,90,2.06
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6.17
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,90,2.87
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,2.16
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,90,2.73
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,2.41
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,90,1.91
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.91
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.15
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4.33
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,3.58
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,4.9
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,90,2.71
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10,4.09
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,2.95
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,90,2.46
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.81
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.66
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,90,2.23
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,2.67
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.7
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,90,2.84
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,2.15
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3.93
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,3.69
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,90,3.3
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2.38
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.64
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.89
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,3.6
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10,4.6
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,90,2.62
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,10,4.09
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,3.01
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10,2.73
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.86
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.7
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,10,2.06
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90,2.49
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4.01
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,3.91
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.31
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2.74
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,3.7
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90,2.18
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2.08
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.18
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,6.49
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,4.74
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10,3.01
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,1.88
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2.98
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.94
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,90,1.97
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2.12
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,2.48
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10,3.85
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,3.96
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,3
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,3.92
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,2.12
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,2.73
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,2.16
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2.51
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4.18
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.19
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,10,6.7
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,10,3.68
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,10,6.81
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10,3.87
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,3.56
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,2.35
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,90,2.72
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,10,3.56
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,10,2.45
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,10,6.07
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,90,2.15
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90,2.8
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,90,2.14
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,90,2.21
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,10,4.65
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,90,3.27
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,3.29
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,10,5.06
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,3.24
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,90,3.33
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,90,3.39
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,4.69
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,3.25
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,90,3.68
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,7.18
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,90,3.28
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,4.51
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,90,1.86
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10,3.07
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,90,2.72
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,10,3.02
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,2.1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,2.06
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,2.18
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,10,2.96
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10,4.04
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,90,2.79
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,2.29
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,4.07
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.84
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,2.72
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,2.32
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.18
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,3.06
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,90,2.8
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,10,2.13
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,2.09
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,2.43
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,10,3.05
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,10,2.8
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,10,4.17
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,90,2.85
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10,2.75
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,2.74
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.8
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,2.31
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,2.96
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,2.21
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,2.45
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,2.99
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2.99
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,3.03
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,2.95
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,3.04
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,4
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,90,2.4
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,3.01
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,2.13
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,2.03
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2.86
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,2.08
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,2.26
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2.67
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,90,2.67
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10,2.81
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,2.7
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,3.08
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,2.14
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.75
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2.83
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,90,1.89
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,90,2.42
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,2.96
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,10,2.87
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,10,2.07
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,10,3.91
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90,2.24
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,2.8
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90,2.15
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,2.7
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.88
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.86
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,1.84
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,10,2.05
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2.47
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.9
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,2.05
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.94
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,10,3.87
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,2.09
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,90,3
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3.84
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,2.45
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,2.69
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2.02
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,2.19
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,10,2.99
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,2.8
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,90,2.7
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,2.8
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,4.06
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,2.7
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,2.33
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,3.82
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,10,3.87
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,10,2.8
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,10,3.97
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,2.2
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,90,3
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.88
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,2.8
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,3.93
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.67
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,3.94
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6.65
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2.1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.68
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,90,2.71
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,6.39
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,90,2.73
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,3.91
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.12
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,2.2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.62
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10,2.96
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,6.22
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,90,2.79
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,3
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2.88
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.21
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,2.38
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.11
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2.63
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,4.95
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,10,5.47
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,4.91
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.28
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.35
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,3.39
0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,90,2.82
0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,10,5.03
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,90,3.38
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,4.87
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,4.97
0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,10,7.34
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,3.21
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,5.34
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,4.76
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,3.3
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.35
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,10,4.95
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,3.26
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,10,2.78
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,4.79
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,10,4.81
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,10,5.53
0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,3.35
0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,3.33
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,10,4.85
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,10,7.06
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,3.33
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,90,3.3
