root,mpm,prefork,worker,moreThreads,moreProcesses,sendfile,compression,noCompression,keepalive,basicAuth,tls,tlsAes128,tlsAes256,maxClients,compressionLevel,$<performance
1,1,1,0,0,0,0,1,0,0,0,1,1,0,4096,9,166.5608
1,1,1,0,0,0,0,1,0,0,1,1,0,1,512,1,167.9768
1,1,1,0,0,0,0,1,0,0,1,1,0,1,1024,1,167.9776
1,1,1,0,0,0,0,1,0,0,1,1,0,1,2048,1,168.2004
1,1,1,0,0,0,0,1,0,0,1,1,0,1,4096,1,168.1812
1,1,1,0,0,0,0,1,0,0,1,1,0,1,512,5,168.1124
1,1,1,0,0,0,0,1,0,0,1,1,0,1,1024,5,167.4358
1,1,1,0,0,0,0,1,0,0,1,1,0,1,2048,5,167.3886
1,1,1,0,0,0,0,1,0,0,1,1,0,1,4096,5,165.9954
1,1,1,0,0,0,0,1,0,0,1,1,0,1,512,9,166.1178
1,1,1,0,0,0,0,1,0,0,1,1,0,1,1024,9,168.5042
1,1,1,0,0,0,0,1,0,0,1,1,0,1,2048,9,168.2838
1,1,1,0,0,0,0,1,0,0,1,1,0,1,4096,9,166.3842
1,1,1,0,0,0,0,1,0,0,1,1,1,0,512,1,166.8656
1,1,1,0,0,0,0,1,0,0,1,1,1,0,1024,1,166.278
1,1,1,0,0,0,0,1,0,0,1,1,1,0,2048,1,166.9488
1,1,1,0,0,0,0,1,0,0,1,1,1,0,4096,1,167.9556
1,1,1,0,0,0,0,1,0,0,1,1,1,0,512,5,165.2014
1,1,1,0,0,0,0,1,0,0,1,1,1,0,1024,5,167.144
1,1,1,0,0,0,0,1,0,0,1,1,1,0,2048,5,168.3288
1,1,1,0,0,0,0,1,0,0,1,1,1,0,4096,5,165.5558
1,1,1,0,0,0,0,1,0,0,1,1,1,0,512,9,165.847
1,1,1,0,0,0,0,1,0,0,1,1,1,0,1024,9,165.5612
1,1,1,0,0,0,0,1,0,0,1,1,1,0,2048,9,166.8372
1,1,1,0,0,0,0,1,0,0,1,1,1,0,4096,9,167.0496
1,1,1,0,0,0,1,1,0,0,0,1,0,1,512,1,167.8962
1,1,1,0,0,0,1,1,0,0,0,1,0,1,1024,1,165.88
1,1,1,0,0,0,1,1,0,0,0,1,0,1,2048,1,167.2368
1,1,1,0,0,0,1,1,0,0,0,1,0,1,4096,1,168.2544
1,1,1,0,0,0,1,1,0,0,0,1,0,1,512,5,168.1308
1,1,1,0,0,0,1,1,0,0,0,1,0,1,1024,5,167.2178
1,1,1,0,0,0,1,1,0,0,0,1,0,1,2048,5,167.1708
1,1,1,0,0,0,1,1,0,0,0,1,0,1,4096,5,167.177
1,1,1,0,0,0,1,1,0,0,0,1,0,1,512,9,166.854
1,1,1,0,0,0,1,1,0,0,0,1,0,1,1024,9,167.6726
1,1,1,0,0,0,1,1,0,0,0,1,0,1,2048,9,166.901
1,1,1,0,0,0,1,1,0,0,0,1,0,1,4096,9,166.1892
1,1,1,0,0,0,1,1,0,0,0,1,1,0,512,1,165.6704
1,1,1,0,0,0,1,1,0,0,0,1,1,0,1024,1,166.442
1,1,1,0,0,0,1,1,0,0,0,1,1,0,2048,1,167.6616
1,1,1,0,0,0,1,1,0,0,0,1,1,0,4096,1,167.8766
1,1,1,0,0,0,1,1,0,0,0,1,1,0,512,5,166.5048
1,1,1,0,0,0,1,1,0,0,0,1,1,0,1024,5,167.7964
1,1,1,0,0,0,1,1,0,0,0,1,1,0,2048,5,166.5864
1,1,1,0,0,0,1,1,0,0,0,1,1,0,4096,5,166.2052
1,1,1,0,0,0,1,1,0,0,0,1,1,0,512,9,165.5856
1,1,1,0,0,0,1,1,0,0,0,1,1,0,1024,9,167.7622
1,1,1,0,0,0,1,1,0,0,0,1,1,0,2048,9,166.2336
1,1,1,0,0,0,1,1,0,0,0,1,1,0,4096,9,165.8646
1,1,1,0,0,0,1,1,0,0,1,1,0,1,512,1,167.2962
1,1,1,0,0,0,1,1,0,0,1,1,0,1,1024,1,166.6678
1,1,1,0,0,0,1,1,0,0,1,1,0,1,2048,1,166.2124
1,1,1,0,0,0,1,1,0,0,1,1,0,1,4096,1,167.1182
1,1,1,0,0,0,1,1,0,0,1,1,0,1,512,5,167.95
1,1,1,0,0,0,1,1,0,0,1,1,0,1,1024,5,167.738
1,1,1,0,0,0,1,1,0,0,1,1,0,1,2048,5,168.4756
1,1,1,0,0,0,1,1,0,0,1,1,0,1,4096,5,166.1682
1,1,1,0,0,0,1,1,0,0,1,1,0,1,512,9,166.877
1,1,1,0,0,0,1,1,0,0,1,1,0,1,1024,9,166.218
1,1,1,0,0,0,1,1,0,0,1,1,0,1,2048,9,168.7032
1,1,1,0,0,0,1,1,0,0,1,1,0,1,4096,9,166.8736
1,1,1,0,0,0,1,1,0,0,1,1,1,0,512,1,166.5828
1,1,1,0,0,0,1,1,0,0,1,1,1,0,1024,1,167.8084
1,1,1,0,0,0,1,1,0,0,1,1,1,0,2048,1,165.4908
1,1,1,0,0,0,1,1,0,0,1,1,1,0,4096,1,167.3416
1,1,1,0,0,0,1,1,0,0,1,1,1,0,512,5,167.0458
1,1,1,0,0,0,1,1,0,0,1,1,1,0,1024,5,165.5956
1,1,1,0,0,0,1,1,0,0,1,1,1,0,2048,5,168.1578
1,1,1,0,0,0,1,1,0,0,1,1,1,0,4096,5,166.6048
1,1,1,0,0,0,1,1,0,0,1,1,1,0,512,9,166.7742
1,1,1,0,0,0,1,1,0,0,1,1,1,0,1024,9,165.7104
1,1,1,0,0,0,1,1,0,0,1,1,1,0,2048,9,166.9416
1,1,1,0,0,0,1,1,0,0,1,1,1,0,4096,9,167.779
1,1,0,1,0,0,0,0,1,0,0,1,0,1,512,0,164.1818
1,1,0,1,0,0,0,0,1,0,0,1,0,1,1024,0,165.4556
1,1,0,1,0,0,0,0,1,0,0,1,0,1,2048,0,166.4034
1,1,0,1,0,0,0,0,1,0,0,1,0,1,4096,0,164.1756
1,1,0,1,0,0,0,0,1,0,0,1,1,0,512,0,161.8958
1,1,0,1,0,0,0,0,1,0,0,1,1,0,1024,0,165.2612
1,1,0,1,0,0,0,0,1,0,0,1,1,0,2048,0,164.191
1,1,0,1,0,0,0,0,1,0,0,1,1,0,4096,0,163.7512
1,1,0,1,0,0,0,0,1,0,1,1,0,1,512,0,165.605
1,1,0,1,0,0,0,0,1,0,1,1,0,1,1024,0,164.7058
1,1,0,1,0,0,0,0,1,0,1,1,0,1,2048,0,165.7684
1,1,0,1,0,0,0,0,1,0,1,1,0,1,4096,0,163.7542
1,1,0,1,0,0,0,0,1,0,1,1,1,0,512,0,162.9272
1,1,0,1,0,0,0,0,1,0,1,1,1,0,1024,0,163.366
1,1,0,1,0,0,0,0,1,0,1,1,1,0,2048,0,166.7804
1,1,0,1,0,0,0,0,1,0,1,1,1,0,4096,0,161.8262
1,1,0,1,0,0,0,0,1,1,0,1,0,1,512,0,31.6822
1,1,0,1,0,0,0,0,1,1,0,1,0,1,1024,0,31.2326
1,1,0,1,0,0,0,0,1,1,0,1,0,1,2048,0,31.8866
1,1,0,1,0,0,0,0,1,1,0,1,0,1,4096,0,31.1622
1,1,0,1,0,0,0,0,1,1,0,1,1,0,512,0,31.3186
1,1,0,1,0,0,0,0,1,1,0,1,1,0,1024,0,31.2232
1,1,0,1,0,0,0,0,1,1,0,1,1,0,2048,0,31.6514
1,1,0,1,0,0,0,0,1,1,0,1,1,0,4096,0,31.5282
1,1,0,1,0,0,0,0,1,1,1,1,0,1,512,0,31.2796
1,1,0,1,0,0,0,0,1,1,1,1,0,1,1024,0,32.145
1,1,0,1,0,0,0,0,1,1,1,1,0,1,2048,0,32.0286
1,1,0,1,0,0,0,0,1,1,1,1,0,1,4096,0,32.6992
1,1,0,1,0,0,0,0,1,1,1,1,1,0,512,0,31.1982
1,1,0,1,0,0,0,0,1,1,1,1,1,0,1024,0,32.209
1,1,0,1,0,0,0,0,1,1,1,1,1,0,2048,0,32.1222
1,1,0,1,0,0,0,0,1,1,1,1,1,0,4096,0,32.164
1,1,0,1,0,0,1,0,1,0,0,1,0,1,512,0,166.2254
1,1,0,1,0,0,1,0,1,0,0,1,0,1,1024,0,164.829
1,1,0,1,0,0,1,0,1,0,0,1,0,1,2048,0,165.0044
1,1,0,1,0,0,1,0,1,0,0,1,0,1,4096,0,167.101
1,1,0,1,0,0,1,0,1,0,0,1,1,0,512,0,166.1266
1,1,0,1,0,0,1,0,1,0,0,1,1,0,1024,0,163.6422
1,1,0,1,0,0,1,0,1,0,0,1,1,0,2048,0,163.7926
1,1,0,1,0,0,1,0,1,0,0,1,1,0,4096,0,164.9116
1,1,0,1,0,0,1,0,1,0,1,1,0,1,512,0,165.6214
1,1,0,1,0,0,1,0,1,0,1,1,0,1,1024,0,165.6808
1,1,0,1,0,0,1,0,1,0,1,1,0,1,2048,0,164.1068
1,1,0,1,0,0,1,0,1,0,1,1,0,1,4096,0,165.9072
1,1,0,1,0,0,1,0,1,0,1,1,1,0,512,0,166.063
1,1,0,1,0,0,1,0,1,0,1,1,1,0,1024,0,165.3184
1,1,0,1,0,0,1,0,1,0,1,1,1,0,2048,0,165.9408
1,1,0,1,0,0,1,0,1,0,1,1,1,0,4096,0,164.3484
1,1,0,1,0,0,1,0,1,1,0,1,0,1,512,0,31.376
1,1,0,1,0,0,1,0,1,1,0,1,0,1,1024,0,31.9844
1,1,0,1,0,0,1,0,1,1,0,1,0,1,2048,0,31.7862
1,1,0,1,0,0,1,0,1,1,0,1,0,1,4096,0,31.8582
1,1,0,1,0,0,1,0,1,1,0,1,1,0,512,0,31.0946
1,1,0,1,0,0,1,0,1,1,0,1,1,0,1024,0,31.4174
1,1,0,1,0,0,1,0,1,1,0,1,1,0,2048,0,31.6254
1,1,0,1,0,0,1,0,1,1,0,1,1,0,4096,0,31.6904
1,1,0,1,0,0,1,0,1,1,1,1,0,1,512,0,32.436
1,1,0,1,0,0,1,0,1,1,1,1,0,1,1024,0,32.0384
1,1,0,1,0,0,1,0,1,1,1,1,0,1,2048,0,32.7946
1,1,0,1,0,0,1,0,1,1,1,1,0,1,4096,0,32.7582
1,1,0,1,0,0,1,0,1,1,1,1,1,0,512,0,31.4334
1,1,0,1,0,0,1,0,1,1,1,1,1,0,1024,0,31.9392
1,1,0,1,0,0,1,0,1,1,1,1,1,0,2048,0,32.3634
1,1,0,1,0,0,1,0,1,1,1,1,1,0,4096,0,31.7572
1,1,0,1,0,1,0,0,1,0,0,1,0,1,512,0,164.1168
1,1,0,1,0,1,0,0,1,0,0,1,0,1,1024,0,167.1676
1,1,0,1,0,1,0,0,1,0,0,1,0,1,2048,0,163.4202
1,1,0,1,0,1,0,0,1,0,0,1,0,1,4096,0,166.9954
1,1,0,1,0,1,0,0,1,0,0,1,1,0,512,0,161.9756
1,1,0,1,0,1,0,0,1,0,0,1,1,0,1024,0,164.0658
1,1,0,1,0,1,0,0,1,0,0,1,1,0,2048,0,165.8586
1,1,0,1,0,1,0,0,1,0,0,1,1,0,4096,0,167.2748
1,1,0,1,0,1,0,0,1,0,1,1,0,1,512,0,163.7938
1,1,0,1,0,1,0,0,1,0,1,1,0,1,1024,0,164.182
1,1,0,1,0,1,0,0,1,0,1,1,0,1,2048,0,165.9724
1,1,0,1,0,1,0,0,1,0,1,1,0,1,4096,0,164.1062
1,1,0,1,0,1,0,0,1,0,1,1,1,0,512,0,165.7776
1,1,0,1,0,1,0,0,1,0,1,1,1,0,1024,0,166.138
1,1,0,1,0,1,0,0,1,0,1,1,1,0,2048,0,165.5768
1,1,0,1,0,1,0,0,1,0,1,1,1,0,4096,0,164.0186
1,1,0,1,0,1,0,0,1,1,0,1,0,1,512,0,32.0308
1,1,0,1,0,1,0,0,1,1,0,1,0,1,1024,0,31.7042
1,1,0,1,0,1,0,0,1,1,0,1,0,1,2048,0,31.4314
1,1,0,1,0,1,0,0,1,1,0,1,0,1,4096,0,31.8124
1,1,0,1,0,1,0,0,1,1,0,1,1,0,512,0,31.1458
1,1,0,1,0,1,0,0,1,1,0,1,1,0,1024,0,31.2602
1,1,0,1,0,1,0,0,1,1,0,1,1,0,2048,0,31.9334
1,1,0,1,0,1,0,0,1,1,0,1,1,0,4096,0,31.4676
1,1,0,1,0,1,0,0,1,1,1,1,0,1,512,0,31.8482
1,1,0,1,0,1,0,0,1,1,1,1,0,1,1024,0,32.4752
1,1,0,1,0,1,0,0,1,1,1,1,0,1,2048,0,32.4974
1,1,0,1,0,1,0,0,1,1,1,1,0,1,4096,0,32.3962
1,1,0,1,0,1,0,0,1,1,1,1,1,0,512,0,31.6628
1,1,0,1,0,1,0,0,1,1,1,1,1,0,1024,0,31.926
1,1,0,1,0,1,0,0,1,1,1,1,1,0,2048,0,32.0282
1,1,0,1,0,1,0,0,1,1,1,1,1,0,4096,0,31.9772
1,1,0,1,0,1,1,0,1,0,0,1,0,1,512,0,164.1874
1,1,0,1,0,1,1,0,1,0,0,1,0,1,1024,0,164.9386
1,1,0,1,0,1,1,0,1,0,0,1,0,1,2048,0,165.18
1,1,0,1,0,1,1,0,1,0,0,1,0,1,4096,0,167.6958
1,1,0,1,0,1,1,0,1,0,0,1,1,0,512,0,165.7538
1,1,0,1,0,1,1,0,1,0,0,1,1,0,1024,0,161.9528
1,1,0,1,0,1,1,0,1,0,0,1,1,0,2048,0,164.9596
1,1,0,1,0,1,1,0,1,0,0,1,1,0,4096,0,163.2174
1,1,0,1,0,1,1,0,1,0,1,1,0,1,512,0,166.1112
1,1,0,1,0,1,1,0,1,0,1,1,0,1,1024,0,165.9748
1,1,0,1,0,1,1,0,1,0,1,1,0,1,2048,0,164.7156
1,1,0,1,0,1,1,0,1,0,1,1,0,1,4096,0,162.7602
1,1,0,1,0,1,1,0,1,0,1,1,1,0,512,0,163.3642
1,1,0,1,0,1,1,0,1,0,1,1,1,0,1024,0,165.1184
1,1,0,1,0,1,1,0,1,0,1,1,1,0,2048,0,165.5004
1,1,0,1,0,1,1,0,1,0,1,1,1,0,4096,0,165.2914
1,1,0,1,0,1,1,0,1,1,0,1,0,1,512,0,31.1244
1,1,0,1,0,1,1,0,1,1,0,1,0,1,1024,0,31.7822
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2048,0,32.0026
1,1,0,1,0,1,1,0,1,1,0,1,0,1,4096,0,31.862
1,1,0,1,0,1,1,0,1,1,0,1,1,0,512,0,30.8186
1,1,0,1,0,1,1,0,1,1,0,1,1,0,1024,0,31.0888
1,1,0,1,0,1,1,0,1,1,0,1,1,0,2048,0,31.2782
1,1,0,1,0,1,1,0,1,1,0,1,1,0,4096,0,31.3372
1,1,0,1,0,1,1,0,1,1,1,1,0,1,512,0,32.3934
1,1,0,1,0,1,1,0,1,1,1,1,0,1,1024,0,32.0974
1,1,0,1,0,1,1,0,1,1,1,1,0,1,2048,0,32.0416
1,1,0,1,0,1,1,0,1,1,1,1,0,1,4096,0,32.0234
1,1,0,1,0,1,1,0,1,1,1,1,1,0,512,0,31.6432
1,1,0,1,0,1,1,0,1,1,1,1,1,0,1024,0,32.2096
1,1,0,1,0,1,1,0,1,1,1,1,1,0,2048,0,31.832
1,1,0,1,0,1,1,0,1,1,1,1,1,0,4096,0,31.6068
1,1,0,1,1,0,0,0,1,0,0,1,0,1,512,0,163.4738
1,1,0,1,1,0,0,0,1,0,0,1,0,1,1024,0,163.356
1,1,0,1,1,0,0,0,1,0,0,1,0,1,2048,0,166.1558
1,1,0,1,1,0,0,0,1,0,0,1,0,1,4096,0,165.9296
1,1,0,1,1,0,0,0,1,0,0,1,1,0,512,0,165.9226
1,1,0,1,1,0,0,0,1,0,0,1,1,0,1024,0,165.5004
1,1,0,1,1,0,0,0,1,0,0,1,1,0,2048,0,164.7834
1,1,0,1,1,0,0,0,1,0,0,1,1,0,4096,0,164.4548
1,1,0,1,1,0,0,0,1,0,1,1,0,1,512,0,165.4614
1,1,0,1,1,0,0,0,1,0,1,1,0,1,1024,0,163.0718
1,1,0,1,1,0,0,0,1,0,1,1,0,1,2048,0,168.3294
1,1,0,1,1,0,0,0,1,0,1,1,0,1,4096,0,166.4262
1,1,0,1,1,0,0,0,1,0,1,1,1,0,512,0,165.268
1,1,0,1,1,0,0,0,1,0,1,1,1,0,1024,0,165.681
1,1,0,1,1,0,0,0,1,0,1,1,1,0,2048,0,164.6024
1,1,0,1,1,0,0,0,1,0,1,1,1,0,4096,0,165.5204
1,1,0,1,1,0,0,0,1,1,0,1,0,1,512,0,31.3498
1,1,0,1,1,0,0,0,1,1,0,1,0,1,1024,0,31.9878
1,1,0,1,1,0,0,0,1,1,0,1,0,1,2048,0,32.2072
1,1,0,1,1,0,0,0,1,1,0,1,0,1,4096,0,32.6976
1,1,0,1,1,0,0,0,1,1,0,1,1,0,512,0,30.7448
1,1,0,1,1,0,0,0,1,1,0,1,1,0,1024,0,31.283
1,1,0,1,1,0,0,0,1,1,0,1,1,0,2048,0,31.6962
1,1,0,1,1,0,0,0,1,1,0,1,1,0,4096,0,32.8414
1,1,0,1,1,0,0,0,1,1,1,1,0,1,512,0,32.099
1,1,0,1,1,0,0,0,1,1,1,1,0,1,1024,0,32.517
1,1,0,1,1,0,0,0,1,1,1,1,0,1,2048,0,33.0064
1,1,0,1,1,0,0,0,1,1,1,1,0,1,4096,0,33.1188
1,1,0,1,1,0,0,0,1,1,1,1,1,0,512,0,31.4648
1,1,0,1,1,0,0,0,1,1,1,1,1,0,1024,0,32.4226
1,1,0,1,1,0,0,0,1,1,1,1,1,0,2048,0,32.4956
1,1,0,1,1,0,0,0,1,1,1,1,1,0,4096,0,32.1136
1,1,0,1,1,0,1,0,1,0,0,1,0,1,512,0,164.8182
1,1,0,1,1,0,1,0,1,0,0,1,0,1,1024,0,167.9786
1,1,0,1,1,0,1,0,1,0,0,1,0,1,2048,0,166.2018
1,1,0,1,1,0,1,0,1,0,0,1,0,1,4096,0,165.7688
1,1,0,1,1,0,1,0,1,0,0,1,1,0,512,0,165.6874
1,1,0,1,1,0,1,0,1,0,0,1,1,0,1024,0,166.7776
1,1,0,1,1,0,1,0,1,0,0,1,1,0,2048,0,162.921
1,1,0,1,1,0,1,0,1,0,0,1,1,0,4096,0,164.5762
1,1,0,1,1,0,1,0,1,0,1,1,0,1,512,0,164.3898
1,1,0,1,1,0,1,0,1,0,1,1,0,1,1024,0,165.3652
1,1,0,1,1,0,1,0,1,0,1,1,0,1,2048,0,166.0536
1,1,0,1,1,0,1,0,1,0,1,1,0,1,4096,0,167.7684
1,1,0,1,1,0,1,0,1,0,1,1,1,0,512,0,167.0262
1,1,0,1,1,0,1,0,1,0,1,1,1,0,1024,0,166.5828
1,1,0,1,1,0,1,0,1,0,1,1,1,0,2048,0,166.6984
1,1,0,1,1,0,1,0,1,0,1,1,1,0,4096,0,164.5404
1,1,0,1,1,0,1,0,1,1,0,1,0,1,512,0,31.6506
1,1,0,1,1,0,1,0,1,1,0,1,0,1,1024,0,32.2274
1,1,0,1,1,0,1,0,1,1,0,1,0,1,2048,0,32.3072
1,1,0,1,1,0,1,0,1,1,0,1,0,1,4096,0,32.9028
1,1,0,1,1,0,1,0,1,1,0,1,1,0,512,0,31.03
1,1,0,1,1,0,1,0,1,1,0,1,1,0,1024,0,31.5162
1,1,0,1,1,0,1,0,1,1,0,1,1,0,2048,0,31.9244
1,1,0,1,1,0,1,0,1,1,0,1,1,0,4096,0,32.1888
1,1,0,1,1,0,1,0,1,1,1,1,0,1,512,0,31.6374
1,1,0,1,1,0,1,0,1,1,1,1,0,1,1024,0,31.9676
1,1,0,1,1,0,1,0,1,1,1,1,0,1,2048,0,33.1484
1,1,0,1,1,0,1,0,1,1,1,1,0,1,4096,0,33.3514
1,1,0,1,1,0,1,0,1,1,1,1,1,0,512,0,31.368
1,1,0,1,1,0,1,0,1,1,1,1,1,0,1024,0,32.4414
1,1,0,1,1,0,1,0,1,1,1,1,1,0,2048,0,32.8896
1,1,0,1,1,0,1,0,1,1,1,1,1,0,4096,0,31.9532
1,1,0,1,0,0,0,1,0,0,0,1,0,1,512,1,164.3716
1,1,0,1,0,0,0,1,0,0,0,1,0,1,1024,1,165.8648
1,1,0,1,0,0,0,1,0,0,0,1,0,1,2048,1,162.2004
1,1,0,1,0,0,0,1,0,0,0,1,0,1,4096,1,166.5774
1,1,0,1,0,0,0,1,0,0,0,1,0,1,512,5,165.3404
1,1,0,1,0,0,0,1,0,0,0,1,0,1,1024,5,166.8392
1,1,0,1,0,0,0,1,0,0,0,1,0,1,2048,5,164.8898
1,1,0,1,0,0,0,1,0,0,0,1,0,1,4096,5,165.0282
1,1,0,1,0,0,0,1,0,0,0,1,0,1,512,9,165.0278
1,1,0,1,0,0,0,1,0,0,0,1,0,1,1024,9,166.7386
1,1,0,1,0,0,0,1,0,0,0,1,0,1,2048,9,165.0488
1,1,0,1,0,0,0,1,0,0,0,1,0,1,4096,9,167.429
1,1,0,1,0,0,0,1,0,0,0,1,1,0,512,1,164.9276
1,1,0,1,0,0,0,1,0,0,0,1,1,0,1024,1,165.1946
1,1,0,1,0,0,0,1,0,0,0,1,1,0,2048,1,164.6946
