root,opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,$<performance
1,0,0,0,0,0,4,0,2,128,0,0,9888.2
1,0,0,0,0,0,1,0,3,128,0,0,8777.8
1,0,0,0,0,0,2,0,3,128,0,0,8726.6
1,0,0,0,0,0,3,0,3,128,0,0,8863.6
1,0,0,0,0,0,4,0,3,128,0,0,8886.2
1,0,0,0,0,0,1,0,4,128,0,0,9329.4
1,0,0,0,0,0,2,0,4,128,0,0,9235
1,0,0,0,0,0,3,0,4,128,0,0,9418.8
1,0,0,0,0,0,4,0,4,128,0,0,9464.6
1,0,0,0,0,0,1,0,1,0,8,0,6169.8
1,0,0,0,0,0,2,0,1,0,8,0,6334
1,0,0,0,0,0,3,0,1,0,8,0,6421.2
1,0,0,0,0,0,4,0,1,0,8,0,6300.4
1,0,0,0,0,0,1,0,2,0,8,0,6113.4
1,0,0,0,0,0,2,0,2,0,8,0,6418
1,0,0,0,0,0,3,0,2,0,8,0,6466
1,0,0,0,0,0,4,0,2,0,8,0,6346
1,0,0,0,0,0,1,0,3,0,8,0,5954.6
1,0,0,0,0,0,2,0,3,0,8,0,5919
1,0,0,0,0,0,3,0,3,0,8,0,5922.2
1,0,0,0,0,0,4,0,3,0,8,0,5880.2
1,0,0,0,0,0,1,0,4,0,8,0,5959.8
1,0,0,0,0,0,2,0,4,0,8,0,5964.2
1,0,0,0,0,0,3,0,4,0,8,0,6022.4
1,0,0,0,0,0,4,0,4,0,8,0,5994.4
1,0,0,0,0,0,1,0,1,8,8,0,16846.2
1,0,0,0,0,0,2,0,1,8,8,0,17050.2
1,0,0,0,0,0,3,0,1,8,8,0,19673.8
1,0,0,0,0,0,4,0,1,8,8,0,19332.8
1,0,0,0,0,0,1,0,2,8,8,0,16442.8
1,0,0,0,0,0,2,0,2,8,8,0,16792.2
1,0,0,0,0,0,3,0,2,8,8,0,19692.2
1,0,0,0,0,0,4,0,2,8,8,0,19707.8
1,0,0,0,0,0,1,0,3,8,8,0,15364.6
1,0,0,0,0,0,2,0,3,8,8,0,15312.4
1,0,0,0,0,0,3,0,3,8,8,0,15948.6
1,0,0,0,0,0,4,0,3,8,8,0,16073
1,0,0,0,0,0,1,0,4,8,8,0,15296.8
1,0,0,0,0,0,2,0,4,8,8,0,15274.4
1,0,0,0,0,0,3,0,4,8,8,0,16479.6
1,0,0,0,0,0,4,0,4,8,8,0,16233.4
1,0,0,0,0,0,1,0,1,10,8,0,15202.8
1,0,0,0,0,0,2,0,1,10,8,0,15370
1,0,0,0,0,0,3,0,1,10,8,0,16464.2
1,0,0,0,0,0,4,0,1,10,8,0,17556
1,0,0,0,0,0,1,0,2,10,8,0,14634.4
1,0,0,0,0,0,2,0,2,10,8,0,14819.4
1,0,0,0,0,0,3,0,2,10,8,0,15535.8
1,0,0,0,0,0,4,0,2,10,8,0,17862.4
1,0,0,0,0,0,1,0,3,10,8,0,13972.8
1,0,0,0,0,0,2,0,3,10,8,0,13806.6
1,0,0,0,0,0,3,0,3,10,8,0,14227.4
1,0,0,0,0,0,4,0,3,10,8,0,14679.6
1,0,0,0,0,0,1,0,4,10,8,0,13697.4
1,0,0,0,0,0,2,0,4,10,8,0,13578.4
1,0,0,0,0,0,3,0,4,10,8,0,14276.6
1,0,0,0,0,0,4,0,4,10,8,0,14600.4
1,0,0,0,0,0,1,0,1,16,8,0,12680.2
1,0,0,0,0,0,2,0,1,16,8,0,12752.2
1,0,0,0,0,0,3,0,1,16,8,0,13026
1,0,0,0,0,0,4,0,1,16,8,0,13205.4
1,0,0,0,0,0,1,0,2,16,8,0,12087.6
1,0,0,0,0,0,2,0,2,16,8,0,12384.2
1,0,0,0,0,0,3,0,2,16,8,0,12723.8
1,0,0,0,0,0,4,0,2,16,8,0,12967.6
1,0,0,0,0,0,1,0,3,16,8,0,11279.2
1,0,0,0,0,0,2,0,3,16,8,0,11247
1,0,0,0,0,0,3,0,3,16,8,0,11553.2
1,0,0,0,0,0,4,0,3,16,8,0,11424.2
1,0,0,0,0,0,1,0,4,16,8,0,11244.8
1,0,0,0,0,0,2,0,4,16,8,0,11152
1,0,0,0,0,0,3,0,4,16,8,0,11551
1,0,0,0,0,0,4,0,4,16,8,0,11353.2
1,0,0,0,0,0,1,0,1,20,8,0,11879.4
1,0,0,0,0,0,2,0,1,20,8,0,12084.6
1,0,0,0,0,0,3,0,1,20,8,0,12211.2
1,0,0,0,0,0,4,0,1,20,8,0,12306.6
1,0,0,0,0,0,1,0,2,20,8,0,11514.6
1,0,0,0,0,0,2,0,2,20,8,0,11734.6
1,0,0,0,0,0,3,0,2,20,8,0,11921.4
1,0,0,0,0,0,4,0,2,20,8,0,11918.4
1,0,0,0,0,0,1,0,3,20,8,0,10631.2
1,0,0,0,0,0,2,0,3,20,8,0,10569
1,0,0,0,0,0,3,0,3,20,8,0,10868
1,0,0,0,0,0,4,0,3,20,8,0,10737.6
1,0,0,0,0,0,1,0,4,20,8,0,10504
1,0,0,0,0,0,2,0,4,20,8,0,10413.2
1,0,0,0,0,0,3,0,4,20,8,0,10734.2
1,0,0,0,0,0,4,0,4,20,8,0,10530
1,0,0,0,0,0,1,0,1,32,8,0,10797.6
1,0,0,0,0,0,2,0,1,32,8,0,11105.6
1,0,0,0,0,0,3,0,1,32,8,0,10920.4
1,0,0,0,0,0,4,0,1,32,8,0,11078
1,0,0,0,0,0,1,0,2,32,8,0,10173.4
1,0,0,0,0,0,2,0,2,32,8,0,10877.8
1,0,0,0,0,0,3,0,2,32,8,0,10569.6
1,0,0,0,0,0,4,0,2,32,8,0,10864.4
1,0,0,0,0,0,1,0,3,32,8,0,9552.8
1,0,0,0,0,0,2,0,3,32,8,0,9394.4
1,0,0,0,0,0,3,0,3,32,8,0,9618
1,0,0,0,0,0,4,0,3,32,8,0,9509.2
1,0,0,0,0,0,1,0,4,32,8,0,9394.8
1,0,0,0,0,0,2,0,4,32,8,0,9266.4
1,0,0,0,0,0,3,0,4,32,8,0,9854.8
1,0,0,0,0,0,4,0,4,32,8,0,9383.2
1,0,0,0,0,0,1,0,1,64,8,0,9711.4
1,0,0,0,0,0,2,0,1,64,8,0,10174.2
1,0,0,0,0,0,3,0,1,64,8,0,9547.6
1,0,0,0,0,0,4,0,1,64,8,0,9888.6
1,0,0,0,0,0,1,0,2,64,8,0,9175.8
1,0,0,0,0,0,2,0,2,64,8,0,10117.8
1,0,0,0,0,0,3,0,2,64,8,0,9367.6
1,0,0,0,0,0,4,0,2,64,8,0,9854.6
1,0,0,0,0,0,1,0,3,64,8,0,8503.4
1,0,0,0,0,0,2,0,3,64,8,0,8421.8
1,0,0,0,0,0,3,0,3,64,8,0,8642
1,0,0,0,0,0,4,0,3,64,8,0,8573.4
1,0,0,0,0,0,1,0,4,64,8,0,8409.2
1,0,0,0,0,0,2,0,4,64,8,0,8319.2
1,0,0,0,0,0,3,0,4,64,8,0,8545.4
1,0,0,0,0,0,4,0,4,64,8,0,8478.6
1,0,0,0,0,0,1,0,1,128,8,0,8141.4
1,0,0,0,0,0,2,0,1,128,8,0,8409.2
1,0,0,0,0,0,3,0,1,128,8,0,7891.8
1,0,0,0,0,0,4,0,1,128,8,0,8160
1,0,0,0,0,0,1,0,2,128,8,0,7812
1,0,0,0,0,0,2,0,2,128,8,0,8440.8
1,0,0,0,0,0,3,0,2,128,8,0,7860
1,0,0,0,0,0,4,0,2,128,8,0,8182.4
1,0,0,0,0,0,1,0,3,128,8,0,7425.2
1,0,0,0,0,0,2,0,3,128,8,0,7411.2
1,0,0,0,0,0,3,0,3,128,8,0,7557.6
1,0,0,0,0,0,4,0,3,128,8,0,7416.8
1,0,0,0,0,0,1,0,4,128,8,0,7397.4
1,0,0,0,0,0,2,0,4,128,8,0,7371.4
1,0,0,0,0,0,3,0,4,128,8,0,7471.4
1,0,0,0,0,0,4,0,4,128,8,0,7400.4
1,0,0,0,0,0,1,0,1,0,10,0,6590.4
1,0,0,0,0,0,2,0,1,0,10,0,6824.2
1,0,0,0,0,0,3,0,1,0,10,0,6917.6
1,0,0,0,0,0,4,0,1,0,10,0,6772.8
1,0,0,0,0,0,1,0,2,0,10,0,6547.4
1,0,0,0,0,0,2,0,2,0,10,0,6924.2
1,0,0,0,0,0,3,0,2,0,10,0,6976.6
1,0,0,0,0,0,4,0,2,0,10,0,6808.6
1,0,0,0,0,0,1,0,3,0,10,0,6181.6
1,0,0,0,0,0,2,0,3,0,10,0,6149.8
1,0,0,0,0,0,3,0,3,0,10,0,6139.2
1,0,0,0,0,0,4,0,3,0,10,0,6111.2
1,0,0,0,0,0,1,0,4,0,10,0,6179.2
1,0,0,0,0,0,2,0,4,0,10,0,6304.8
1,0,0,0,0,0,3,0,4,0,10,0,6261.8
1,0,0,0,0,0,4,0,4,0,10,0,6242.4
1,0,0,0,0,0,1,0,1,8,10,0,16104.4
1,0,0,0,0,0,2,0,1,8,10,0,16374.6
1,0,0,0,0,0,3,0,1,8,10,0,18899
1,0,0,0,0,0,4,0,1,8,10,0,18857.4
1,0,0,0,0,0,1,0,2,8,10,0,15331.6
1,0,0,0,0,0,2,0,2,8,10,0,15771.8
1,0,0,0,0,0,3,0,2,8,10,0,18819.2
1,0,0,0,0,0,4,0,2,8,10,0,18759.8
1,0,0,0,0,0,1,0,3,8,10,0,14594.2
1,0,0,0,0,0,2,0,3,8,10,0,14299.8
1,0,0,0,0,0,3,0,3,8,10,0,14897.6
1,0,0,0,0,0,4,0,3,8,10,0,15038.4
1,0,0,0,0,0,1,0,4,8,10,0,14360
1,0,0,0,0,0,2,0,4,8,10,0,14087.6
1,0,0,0,0,0,3,0,4,8,10,0,15304.8
1,0,0,0,0,0,4,0,4,8,10,0,14978.8
1,0,0,0,0,0,1,0,1,10,10,0,14683.8
1,0,0,0,0,0,2,0,1,10,10,0,14794.6
1,0,0,0,0,0,3,0,1,10,10,0,16004.4
1,0,0,0,0,0,4,0,1,10,10,0,17357.2
1,0,0,0,0,0,1,0,2,10,10,0,14009.4
1,0,0,0,0,0,2,0,2,10,10,0,14207.6
1,0,0,0,0,0,3,0,2,10,10,0,14957.6
1,0,0,0,0,0,4,0,2,10,10,0,17325
1,0,0,0,0,0,1,0,3,10,10,0,13222.6
1,0,0,0,0,0,2,0,3,10,10,0,12928.2
1,0,0,0,0,0,3,0,3,10,10,0,13351.4
1,0,0,0,0,0,4,0,3,10,10,0,13784.6
1,0,0,0,0,0,1,0,4,10,10,0,12843.8
1,0,0,0,0,0,2,0,4,10,10,0,12719.2
1,0,0,0,0,0,3,0,4,10,10,0,13266.2
1,0,0,0,0,0,4,0,4,10,10,0,13690.2
1,0,0,0,0,0,1,0,1,16,10,0,12665.2
1,0,0,0,0,0,2,0,1,16,10,0,12794.6
1,0,0,0,0,0,3,0,1,16,10,0,13012.2
1,0,0,0,0,0,4,0,1,16,10,0,13265
1,0,0,0,0,0,1,0,2,16,10,0,11835
1,0,0,0,0,0,2,0,2,16,10,0,12244.4
1,0,0,0,0,0,3,0,2,16,10,0,12559.8
1,0,0,0,0,0,4,0,2,16,10,0,12831.6
1,0,0,0,0,0,1,0,3,16,10,0,11225.6
1,0,0,0,0,0,2,0,3,16,10,0,10968.6
1,0,0,0,0,0,3,0,3,16,10,0,11182.8
1,0,0,0,0,0,4,0,3,16,10,0,11080.4
1,0,0,0,0,0,1,0,4,16,10,0,10884.6
1,0,0,0,0,0,2,0,4,16,10,0,10702.2
1,0,0,0,0,0,3,0,4,16,10,0,11065
1,0,0,0,0,0,4,0,4,16,10,0,10857.8
1,0,0,0,0,0,1,0,1,20,10,0,12001.6
1,0,0,0,0,0,2,0,1,20,10,0,12312.6
1,0,0,0,0,0,3,0,1,20,10,0,12220.4
1,0,0,0,0,0,4,0,1,20,10,0,12558.4
1,0,0,0,0,0,1,0,2,20,10,0,11581
1,0,0,0,0,0,2,0,2,20,10,0,11824.2
1,0,0,0,0,0,3,0,2,20,10,0,12001.2
1,0,0,0,0,0,4,0,2,20,10,0,11778.8
1,0,0,0,0,0,1,0,3,20,10,0,10621.4
1,0,0,0,0,0,2,0,3,20,10,0,10395.4
1,0,0,0,0,0,3,0,3,20,10,0,10566.6
1,0,0,0,0,0,4,0,3,20,10,0,10513.6
1,0,0,0,0,0,1,0,4,20,10,0,10268.4
1,0,0,0,0,0,2,0,4,20,10,0,10131.4
1,0,0,0,0,0,3,0,4,20,10,0,10387.8
1,0,0,0,0,0,4,0,4,20,10,0,10210.8
1,0,0,0,0,0,1,0,1,32,10,0,11055.6
1,0,0,0,0,0,2,0,1,32,10,0,11471.4
1,0,0,0,0,0,3,0,1,32,10,0,10903.2
1,0,0,0,0,0,4,0,1,32,10,0,11424.6
1,0,0,0,0,0,1,0,2,32,10,0,10190.4
1,0,0,0,0,0,2,0,2,32,10,0,11220.2
1,0,0,0,0,0,3,0,2,32,10,0,10604.4
1,0,0,0,0,0,4,0,2,32,10,0,11091.2
1,0,0,0,0,0,1,0,3,32,10,0,9614.6
1,0,0,0,0,0,2,0,3,32,10,0,9382.4
1,0,0,0,0,0,3,0,3,32,10,0,9544.2
1,0,0,0,0,0,4,0,3,32,10,0,9479.4
1,0,0,0,0,0,1,0,4,32,10,0,9334.2
1,0,0,0,0,0,2,0,4,32,10,0,9149.4
1,0,0,0,0,0,3,0,4,32,10,0,9350
1,0,0,0,0,0,4,0,4,32,10,0,9247.6
1,0,0,0,0,0,1,0,1,64,10,0,10154
1,0,0,0,0,0,2,0,1,64,10,0,10735.2
1,0,0,0,0,0,3,0,1,64,10,0,9673.8
1,0,0,0,0,0,4,0,1,64,10,0,10350
1,0,0,0,0,0,1,0,2,64,10,0,9375.4
1,0,0,0,0,0,2,0,2,64,10,0,10671.2
1,0,0,0,0,0,3,0,2,64,10,0,9569
1,0,0,0,0,0,4,0,2,64,10,0,10218.6
1,0,0,0,0,0,1,0,3,64,10,0,8634.8
1,0,0,0,0,0,2,0,3,64,10,0,8462.2
1,0,0,0,0,0,3,0,3,64,10,0,8666.6
1,0,0,0,0,0,4,0,3,64,10,0,8612.2
1,0,0,0,0,0,1,0,4,64,10,0,8529.2
1,0,0,0,0,0,2,0,4,64,10,0,8383
1,0,0,0,0,0,3,0,4,64,10,0,8613.8
1,0,0,0,0,0,4,0,4,64,10,0,8513
1,0,0,0,0,0,1,0,1,128,10,0,8471.2
1,0,0,0,0,0,2,0,1,128,10,0,8698.4
1,0,0,0,0,0,3,0,1,128,10,0,8173
1,0,0,0,0,0,4,0,1,128,10,0,8511.8
1,0,0,0,0,0,1,0,2,128,10,0,8071
1,0,0,0,0,0,2,0,2,128,10,0,8719.4
1,0,0,0,0,0,3,0,2,128,10,0,8177
1,0,0,0,0,0,4,0,2,128,10,0,8486.8
1,0,0,0,0,0,1,0,3,128,10,0,7572
1,0,0,0,0,0,2,0,3,128,10,0,7442.8
1,0,0,0,0,0,3,0,3,128,10,0,7553.6
1,0,0,0,0,0,4,0,3,128,10,0,7497.6
1,0,0,0,0,0,1,0,4,128,10,0,7559.6
1,0,0,0,0,0,2,0,4,128,10,0,7412.2
1,0,0,0,0,0,3,0,4,128,10,0,7515.4
1,0,0,0,0,0,4,0,4,128,10,0,7465.8
1,0,0,0,0,0,1,0,1,0,16,0,6022.2
1,0,0,0,0,0,2,0,1,0,16,0,6185.8
1,0,0,0,0,0,3,0,1,0,16,0,6281
1,0,0,0,0,0,4,0,1,0,16,0,6185.2
1,0,0,0,0,0,1,0,2,0,16,0,5985.2
1,0,0,0,0,0,2,0,2,0,16,0,6263.6
1,0,0,0,0,0,3,0,2,0,16,0,6325
1,0,0,0,0,0,4,0,2,0,16,0,6213
1,0,0,0,0,0,1,0,3,0,16,0,5629
1,0,0,0,0,0,2,0,3,0,16,0,5608.2
1,0,0,0,0,0,3,0,3,0,16,0,5600.4
1,0,0,0,0,0,4,0,3,0,16,0,5575.2
1,0,0,0,0,0,1,0,4,0,16,0,5632.2
1,0,0,0,0,0,2,0,4,0,16,0,5625.4
1,0,0,0,0,0,3,0,4,0,16,0,5679
1,0,0,0,0,0,4,0,4,0,16,0,5652.8
1,0,0,0,0,0,1,0,1,8,16,0,13051.8
1,0,0,0,0,0,2,0,1,8,16,0,13227.6
1,0,0,0,0,0,3,0,1,8,16,0,14700
1,0,0,0,0,0,4,0,1,8,16,0,14584.4
1,0,0,0,0,0,1,0,2,8,16,0,12353.4
1,0,0,0,0,0,2,0,2,8,16,0,12644.8
1,0,0,0,0,0,3,0,2,8,16,0,14611.2
1,0,0,0,0,0,4,0,2,8,16,0,14638.2
1,0,0,0,0,0,1,0,3,8,16,0,11761.6
1,0,0,0,0,0,2,0,3,8,16,0,11450.6
1,0,0,0,0,0,3,0,3,8,16,0,11739.8
1,0,0,0,0,0,4,0,3,8,16,0,11716.8
1,0,0,0,0,0,1,0,4,8,16,0,11551
1,0,0,0,0,0,2,0,4,8,16,0,11376.6
1,0,0,0,0,0,3,0,4,8,16,0,12027
1,0,0,0,0,0,4,0,4,8,16,0,11802
1,0,0,0,0,0,1,0,1,10,16,0,12277.2
1,0,0,0,0,0,2,0,1,10,16,0,12366.2
1,0,0,0,0,0,3,0,1,10,16,0,13271.8
1,0,0,0,0,0,4,0,1,10,16,0,13832
1,0,0,0,0,0,1,0,2,10,16,0,11564
1,0,0,0,0,0,2,0,2,10,16,0,11647.6
1,0,0,0,0,0,3,0,2,10,16,0,12392.6
1,0,0,0,0,0,4,0,2,10,16,0,13684.8
1,0,0,0,0,0,1,0,3,10,16,0,11072.8
1,0,0,0,0,0,2,0,3,10,16,0,10735
1,0,0,0,0,0,3,0,3,10,16,0,10886.2
1,0,0,0,0,0,4,0,3,10,16,0,10999
1,0,0,0,0,0,1,0,4,10,16,0,10633.2
1,0,0,0,0,0,2,0,4,10,16,0,10399.8
1,0,0,0,0,0,3,0,4,10,16,0,10761
1,0,0,0,0,0,4,0,4,10,16,0,10953.6
1,0,0,0,0,0,1,0,1,16,16,0,10764.2
1,0,0,0,0,0,2,0,1,16,16,0,10900.8
1,0,0,0,0,0,3,0,1,16,16,0,11049.2
1,0,0,0,0,0,4,0,1,16,16,0,11224.6
1,0,0,0,0,0,1,0,2,16,16,0,9981.4
1,0,0,0,0,0,2,0,2,16,16,0,10519.8
1,0,0,0,0,0,3,0,2,16,16,0,10730.8
1,0,0,0,0,0,4,0,2,16,16,0,10840
1,0,0,0,0,0,1,0,3,16,16,0,9591
1,0,0,0,0,0,2,0,3,16,16,0,9294.6
1,0,0,0,0,0,3,0,3,16,16,0,9408.6
1,0,0,0,0,0,4,0,3,16,16,0,9356.2
1,0,0,0,0,0,1,0,4,16,16,0,9208.6
1,0,0,0,0,0,2,0,4,16,16,0,9011.6
1,0,0,0,0,0,3,0,4,16,16,0,9309.6
1,0,0,0,0,0,4,0,4,16,16,0,9079.6
1,0,0,0,0,0,1,0,1,20,16,0,10385.4
1,0,0,0,0,0,2,0,1,20,16,0,10611.4
1,0,0,0,0,0,3,0,1,20,16,0,10427.6
1,0,0,0,0,0,4,0,1,20,16,0,10697.2
1,0,0,0,0,0,1,0,2,20,16,0,9961.4
1,0,0,0,0,0,2,0,2,20,16,0,10159
1,0,0,0,0,0,3,0,2,20,16,0,10202.8
1,0,0,0,0,0,4,0,2,20,16,0,10016.8
1,0,0,0,0,0,1,0,3,20,16,0,9188.2
1,0,0,0,0,0,2,0,3,20,16,0,8918
1,0,0,0,0,0,3,0,3,20,16,0,8998.4
1,0,0,0,0,0,4,0,3,20,16,0,8953
1,0,0,0,0,0,1,0,4,20,16,0,8843.2
1,0,0,0,0,0,2,0,4,20,16,0,8592.6
1,0,0,0,0,0,3,0,4,20,16,0,8706.4
1,0,0,0,0,0,4,0,4,20,16,0,8605.2
1,0,0,0,0,0,1,0,1,32,16,0,9516.8
1,0,0,0,0,0,2,0,1,32,16,0,9871.8
1,0,0,0,0,0,3,0,1,32,16,0,9278.2
1,0,0,0,0,0,4,0,1,32,16,0,9763.4
1,0,0,0,0,0,1,0,2,32,16,0,8731.6
1,0,0,0,0,0,2,0,2,32,16,0,9751.2
1,0,0,0,0,0,3,0,2,32,16,0,9120.2
1,0,0,0,0,0,4,0,2,32,16,0,9549.6
1,0,0,0,0,0,1,0,3,32,16,0,8307
1,0,0,0,0,0,2,0,3,32,16,0,8058.4
1,0,0,0,0,0,3,0,3,32,16,0,8160.6
1,0,0,0,0,0,4,0,3,32,16,0,8132.2
